amount,oldbalanceOrg,hour,transaction_type,newbalanceOrig,isFraud
15805,49447,13,PAYMENT,33642,0
870,166601,10,TRANSFER,165731,0
76830,127394,17,TRANSFER,50564,1
54896,76703,21,TRANSFER,21807,1
6275,77090,11,PAYMENT,70815,0
82396,18260,22,TRANSFER,-64136,1
37204,113581,11,PAYMENT,76377,0
87508,4812,12,CASH_OUT,-82696,1
44141,160096,12,PAYMENT,115955,0
60273,190728,18,CASH_OUT,130455,0
16033,117148,18,PAYMENT,101115,0
41100,159357,22,CASH_OUT,118257,0
67231,117421,13,TRANSFER,50190,1
64830,2605,3,CASH_OUT,-62225,1
779,73303,12,TRANSFER,72524,0
59745,159211,7,TRANSFER,99466,1
62965,188210,22,CASH_OUT,125245,0
64935,77125,20,PAYMENT,12190,0
67979,145990,22,PAYMENT,78011,0
5321,159518,18,PAYMENT,154197,0
83114,125040,11,PAYMENT,41926,0
53717,145118,17,PAYMENT,91401,0
85315,156890,5,TRANSFER,71575,1
28703,5324,17,PAYMENT,-23379,1
71942,77323,18,TRANSFER,5381,1
93026,10111,21,TRANSFER,-82915,1
25668,170182,4,TRANSFER,144514,0
84488,17389,23,CASH_OUT,-67099,1
18441,123177,8,CASH_OUT,104736,0
2757,42427,2,TRANSFER,39670,0
59160,160818,9,CASH_OUT,101658,0
65735,123883,18,PAYMENT,58148,0
84664,132189,2,PAYMENT,47525,1
35783,126808,21,TRANSFER,91025,0
67445,113221,14,PAYMENT,45776,0
56896,14234,0,TRANSFER,-42662,1
66813,54441,6,TRANSFER,-12372,1
31561,1846,11,PAYMENT,-29715,1
11404,11954,16,CASH_OUT,550,0
69102,80239,20,PAYMENT,11137,0
3900,47514,23,PAYMENT,43614,0
41616,89236,19,TRANSFER,47620,0
96286,98579,4,TRANSFER,2293,1
80048,138541,3,TRANSFER,58493,1
87323,162177,11,TRANSFER,74854,1
10637,43101,19,CASH_OUT,32464,0
8802,65323,23,CASH_OUT,56521,0
73979,92922,17,CASH_OUT,18943,0
43011,190139,16,TRANSFER,147128,0
76562,181448,18,TRANSFER,104886,1
23907,177659,8,TRANSFER,153752,0
68158,169048,3,CASH_OUT,100890,1
23493,128534,20,TRANSFER,105041,0
48565,68584,1,PAYMENT,20019,1
17169,105537,3,PAYMENT,88368,0
80087,79477,1,TRANSFER,-610,1
35930,43533,14,PAYMENT,7603,0
92077,2828,1,PAYMENT,-89249,1
67131,2917,3,CASH_OUT,-64214,1
69489,21618,5,TRANSFER,-47871,1
89485,33254,6,TRANSFER,-56231,1
19467,106292,9,CASH_OUT,86825,0
66567,48362,18,PAYMENT,-18205,1
77199,21128,18,PAYMENT,-56071,1
78963,124781,21,TRANSFER,45818,1
53005,191455,11,PAYMENT,138450,0
40767,66545,2,CASH_OUT,25778,1
9702,83180,12,CASH_OUT,73478,0
45768,88958,17,TRANSFER,43190,0
72419,141937,7,CASH_OUT,69518,0
71221,134291,20,CASH_OUT,63070,0
65707,40809,14,TRANSFER,-24898,1
37075,117748,0,CASH_OUT,80673,1
92103,6287,2,CASH_OUT,-85816,1
99309,166459,7,CASH_OUT,67150,0
32616,9512,3,PAYMENT,-23104,1
11544,133414,15,TRANSFER,121870,0
94673,195148,22,TRANSFER,100475,1
40407,109872,9,TRANSFER,69465,0
91397,151288,11,PAYMENT,59891,0
1026,94070,13,PAYMENT,93044,0
89799,80767,13,TRANSFER,-9032,1
55601,98829,1,PAYMENT,43228,1
89822,158686,22,TRANSFER,68864,1
23257,168330,4,PAYMENT,145073,0
24310,43078,4,CASH_OUT,18768,0
74075,107288,5,CASH_OUT,33213,1
82808,84524,12,TRANSFER,1716,1
9278,13219,8,PAYMENT,3941,0
86817,1235,21,PAYMENT,-85582,1
12195,43929,14,CASH_OUT,31734,0
63714,128309,13,CASH_OUT,64595,0
86789,68444,23,PAYMENT,-18345,1
39109,140639,6,PAYMENT,101530,0
8581,102834,19,PAYMENT,94253,0
38054,197513,1,PAYMENT,159459,1
51224,85555,6,PAYMENT,34331,0
61238,74698,5,PAYMENT,13460,1
48994,125450,16,TRANSFER,76456,0
40784,137487,1,PAYMENT,96703,1
2578,168231,2,CASH_OUT,165653,0
62602,44925,4,TRANSFER,-17677,1
67573,138023,4,PAYMENT,70450,1
2705,88388,0,CASH_OUT,85683,0
48200,9007,7,TRANSFER,-39193,1
5268,173904,11,CASH_OUT,168636,0
87548,59596,23,PAYMENT,-27952,1
39514,122101,3,PAYMENT,82587,1
33169,162595,12,PAYMENT,129426,0
13996,89861,22,PAYMENT,75865,0
61868,87740,14,TRANSFER,25872,1
12676,16524,10,TRANSFER,3848,0
38670,151354,9,CASH_OUT,112684,0
3571,156002,2,PAYMENT,152431,0
26864,132149,21,CASH_OUT,105285,0
64515,126501,13,TRANSFER,61986,1
52261,21611,15,PAYMENT,-30650,1
22672,149056,9,PAYMENT,126384,0
8402,15060,9,TRANSFER,6658,0
30545,44303,11,TRANSFER,13758,0
78613,191279,8,TRANSFER,112666,1
52266,161359,0,TRANSFER,109093,1
89145,40711,4,TRANSFER,-48434,1
35232,144026,19,PAYMENT,108794,0
77383,74340,7,TRANSFER,-3043,1
79585,103974,10,PAYMENT,24389,0
96364,150646,11,PAYMENT,54282,0
84661,141256,0,TRANSFER,56595,1
63345,151168,21,TRANSFER,87823,1
10975,68728,19,PAYMENT,57753,0
24548,166088,10,TRANSFER,141540,0
70602,12246,4,TRANSFER,-58356,1
98028,177630,14,TRANSFER,79602,1
8120,150453,4,CASH_OUT,142333,0
79319,128796,11,PAYMENT,49477,0
27276,168527,4,CASH_OUT,141251,0
53002,93263,16,TRANSFER,40261,1
82958,136090,16,CASH_OUT,53132,0
98816,12302,23,TRANSFER,-86514,1
6920,68506,11,CASH_OUT,61586,0
90992,42157,23,TRANSFER,-48835,1
216,55917,14,CASH_OUT,55701,0
87064,97646,14,CASH_OUT,10582,0
